Kratica stranke,Ime stranke,Predsednik,Člani
ND,Naša dežela,Aleksandra Pivec,"Boštjan Noč,Mojca Papler,Andrej Golčman,Polona Šafner,Maja Marinček,Janez Žumer,Stane Rožič,Anton Peršin,Viktorija Vodnik,Matjaž Zorman,Dolores Primožič,Robert Kavčič,Andreja Humar,Tomo Drevenšek,Elizabet Bordon,Aleks Bordon,Darja Sikirica,Boštjan Skok,Aleš Sedmak,Anita Manfreda,Silvan Saksida,Neli Skočaj,Rok Petravić,Zdenka Petoš,Dragomira Rejc,Melita Biserkova Kuhelj,Janez Waland,Janez Tomc,Blaž Peternel,Roman Šmidovnik,Žiga Štrukelj,Nataša Zakotnik Šmidovnik,Dejan Krajačić,Branko Simonovič,David Ogrin,Jolanda Mihelič,France Omahen,Andreja Knific ,Tadeja Drenovec,Martina Mihalič,Fani Nolimal,Lucija Fink,Vinko Letnar,Gregor Selčan,Jasmina Duraković Pompe,Rok Kopitar,Jože Kerneža,Zdenka Jan,Bojan Cizej,Marjan Vodeb,Janja Praznik,Andrej Volk,Andreja Hace,Klara Golja,Milenko Skenderija,Dušan Pavlič,Simona Volf,Urška Ban,Andrej Ule,Jelena Ilišević Gramc,Darko Martinc,Dejan Cesar,Denis Plavčak,Mateja Blažič,Jože Pustoslemšek,Roman Savšek,Izidor Kitak,Petra Vrhovnik,Mateja Udovč,Matjaž Mihelak,Polona Pivec,Aleš Meglič,Danilo Burnač,Boštjan Protner,Miha Recek,Boris Ploj,Danica Ozvaldič,Jožef Horvat,Aleksandra Pivec,Marko Vargazon,Sabina Gutalj,Stanko Čerpnjak,Sonja Bily,Albert Potočnik,Bernardka Janžekovič Breznik,Branko Goričan,Mitja Lah,Izidor Štajnberger"
SNP,Naša prihodnost,Ivan Gale,"Alma Rekić,Boris Grilc,Maja Ilić Babić,dr. Borut Werber,dr. Jaka Vadnjal,Mateja Čadež,Mateja Čadež,Gorazd Korošec,Nina Tušar Markež,Nina Tušar Markež,Gabrijel Leskovec,Zlatko Gombar,Saša Petejan,Seit Demiri,Saša Petejan,Igor Crnić,Damjana Škapin,Jasna Gombar,Petra Bremec,Rasti Humar,Peter Golob,Mateja Terčon Knap,Gregor Žigon,Anton Može,Martina Fukuhara Štirn,Natalija Tripković,Violeta Bulc,Doroteja Novak Gosarič,Violeta Bulc,Ivan Gale,Ivan Gale,dr. Ljubo Vošnjak,dr. Polonca Štefanič,Nataša Babič,Marko Marjanovič,Klavdija Križ Potisk,Jože Zupančič,Jasminka Alić,Zlatan Ćordić,Milan Čubrilo,Smiljan Mekicar,Violeta Tomić,Barbara Hrovatin,Barbara Hrovatin,Marija Arzenšek,Sandi Sendelbah,Igor Gobec,Jasna Rode Nikolčić,Eva Jankovič,Gaber Marolt,Benjamin Strozak,Matjaž Koželj,Katarina Praznik,Klavdija Šeruga,Boštjan Kotnik,Marjana Čegovnik,Bojan Mikec,Andrej Kastrevec,Igor Blažina,Jože Prah,Dušan Vodlan,Metka Modic,Zorka Vodlan,Miloš Hudarin,Mišo Šušak,Dzurza Rus,Nina Majcen,Gorazd Makoter,Janez Hrovat,Franc Černagoj,Urška Makovec,dr. Silvester Lipošek,Jure Šušteršič,Franc Černagoj,Metka Sparavec Malenko,Alenka Orbović,dr. Silvester Lipošek,Matej Vučko,Bogomir Luci,Simona Mauko,Mitja Županek,Aleksandra Šiftar,Valentin Kovič,Judita Kulovec,Dragutin Bubnjar,Sara Tanšek,Simona Mauko,Sara Tanšek"
NSD,Narodna stranka dela,Marjan Poljšak,
ZD,Nestrankarska LJUDSKA LISTA gibanja Zdrava družba,Polona Kambič,
NSi,Nova Slovenija,Matej Tonin,"Boris Kitek,Maja Fajdiga Komar,mag. Cveto Uršič,dr. Marija Rogar,Irena Dolenc,mag. Matej Tonin,David Ahačič,dr. Marija Klopčič,mag. Janez Žakelj,mag. Matej Tonin,Franci Medic,Matej Hrast,Zdenka Zupančič,Srečko Langeršek,Danijel Sertič,Jerneja Stopar,Klavdija Primc,Andrej Černigoj,Aljaž Plevnik,Anton Harej,Erika Podgornik Rijavec,Jernej Vrtovec,Iva Dimic,Janez Ovsec,Marko Gruden,Peter Kolenc,Boris Kham,Mojca Sojar,Slava Sosič,Mateja Drobnič,Marcela Uršič,Gašper Čižman,dr. Jože Podgoršek,Andrej Janša,Janez Cigler Kralj,Mojca Gruden,Julija Humar,Igor Pigac,Mateja Ribič,Janez Novljan,Jožef Horvat,Karolina Korenčan,Janez Cigler Kralj,Tadeja Šuštar Zalar,Cirila Lavbič,Primož Slakan,Nataša Brežnik,Jože Kužnik,Aleksander Reberšek,Klemen Matk,Veronika Juvan,Mitja Ločičnik,Igor Jeram,Mojca Erjavec,Marijana Cigala,Nataša Hudelja,dr. Vida Čadonič Špelič,Mark Boris Andrijanič,Blaž Pavlin,Katja Berk Bevc,Alen Lenič,Maša Brulc,Jože Senica,Janez Beja,dr. Drago Kočar,Aljaž Jerin,Martin Mikolič,Alenka Pušnik,Janez Črešnar,Miha Žižek,Andrej Šauperl,Aleš Bandur,mag. Bernard Memon,dr. Karmen Teržan Kopecky,mag. Zdravko Luketič,dr. Alenka Šverc,Renata Esih Flac,Jožef Horvat,Matjaž Kosi,Andreja Novak Görkeš,Ivan Horvat,Martina Perša,Ivan Fras,Nataša Bauman,Viktor Vajngerl,Špela Hojnik,Peter Pribožič,Peter Feguš"
Pirati,Piratska stranka,Boštjan Tavčar,"Boštjan Tavčar,Miha Velikanje,Emina Gazibera,Haris Hatić,Jasmina Bejtovič,Neja Repinc,Janoš Kastelic,Vladoša Vidic,Urša Filiput,Sabina Erjavec,Mitja Ivanič,Nevio Miklavčič,Gorazd Knific,Ira Mešiček,Ratko Stojiljković,Zala Rebernak,Jasmin Feratović,Mojca Pungerčar,Urša Orehek,Andraž Vrhovec,Žiga Šubic,Leon Božič,Ines Stamejčič,Sofija Božič,Maja Šaver,Sebastjan Zupin,Nejc Gašper,Ula Matek,Jasmina Feratović,Maj Antešič,Jože Pirh,Karmen Brecelj,Jasmina Klančar,Rok Deželak,Ana Marija Gerbič,Jure Repinc,Nina Beyokol,Petra Kovačec,Tomas Tišler,Suzana Auguštin,Nejc Velkavrh,Filip Mikuž,Igor Brlek,Marko Pušnik,Kovačec Katka,Katja Orehek,Nina Kodrič,Rok Hrabar"
NLS,Nova ljudska stranka,Željko Vogrin,
NS,Nova socialdemokracija,Andrej Magajna,"Andrej Magajna,Vladimir Obrovnik"
SDS,Slovenska demokratska stranka,Janez Janša,"Anja Bah Žibert,Karmen Kozmus Ferjan,Nada Brinovšek,Mojca Škrinjar,Boris Doblekar,mag. Karmen Furman,Franc Breznik,mag. Branko Grims,Eva Irgl,Leon Merjasec,Alenka Jeraj,mag. Dejan Kaloh,Franci Kepa,Danijel Krivec,Jožef Lenart,Suzana Lep Šimenko,Tomaž Lisec,Jure Ferjan,Janez Moškrič,Bojan Podkrajšek,mag. Marko Pogačnik,Marijan Pojbič,Franc Rosec,Elena Zavadlav Ušaj,Jože Tanko,Lidija Ivanuša"
SLS,Slovenska ljudska stranka,Marjan Podobnik,"Marjan Podobnik,Modest Motaln,Suzana Lara Krause,Franc Bogovič,dr. Ivan Žagar,Franc Čebulj,Rok Sedminek,mag. Tomislav Nemec,Jože Korbar,Boštjan Furlan,Andreja Grabner,Franc Kučan,Janez Žagar,Franc Obran,Vesna Starman,Janez Podobnik,Matjaž Knez,Primož Jelševar,Janez Remškar,Peter Vrisk,Uroš Hovnik,mag. Darija Jamnik,Marko Cigler,Mihaela Rožej,mag. Milan Repič,Vlasta Globačnik,Žarko Pregelj,Jaka Debeljak,Darko Simončič,Jurij Malovrh"
